,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
174,0.730660343170166,0.024865341635046487,0.00417943000793457,0.00040395899204543446,1,0.005,10,500,"{'colsample_bytree': 1, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 500}",0.832,0.816,0.824,0.8629032258064516,0.8306451612903226,0.8331096774193549,0.015941693970834156,21
88,0.008385801315307617,0.00048405211379986965,0.001396036148071289,0.00048737356823641884,0.3,0.0001,5,10,"{'colsample_bytree': 0.3, 'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 10}",0.848,0.808,0.816,0.8387096774193549,0.8548387096774194,0.8331096774193549,0.018157475104904418,21
108,0.013968563079833985,0.0006188548092440843,0.001397418975830078,0.0004894553862676912,0.7,0.1,10,10,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 10}",0.832,0.816,0.84,0.8548387096774194,0.8225806451612904,0.833083870967742,0.013597477883294417,24
169,0.08676786422729492,0.002096027848679106,0.0017948150634765625,0.0007458436943709723,1,0.005,5,100,"{'colsample_bytree': 1, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 100}",0.84,0.816,0.832,0.8709677419354839,0.8064516129032258,0.833083870967742,0.022294982006826208,24
171,0.8166377544403076,0.009812904625080833,0.005569171905517578,0.0004761432939937883,1,0.005,5,1000,"{'colsample_bytree': 1, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 1000}",0.832,0.832,0.824,0.8548387096774194,0.8225806451612904,0.833083870967742,0.011562499936721328,24
123,0.7005322456359864,0.011879862415385054,0.006774711608886719,0.00039468423684934083,0.7,0.005,5,1000,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 1000}",0.824,0.84,0.824,0.8467741935483871,0.8306451612903226,0.833083870967742,0.009013750624028554,24
136,0.010564947128295898,0.0004647656368012862,0.0016026020050048829,0.0004937934475806302,0.7,0.0001,5,10,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 10}",0.848,0.824,0.832,0.8387096774193549,0.8225806451612904,0.8330580645161291,0.009467275363565448,28
166,0.26149978637695315,0.008562364288314157,0.0025934219360351563,0.00048756781533421155,1,0.005,3,500,"{'colsample_bytree': 1, 'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 500}",0.824,0.784,0.848,0.8790322580645161,0.8225806451612904,0.8315225806451613,0.031380305600879316,29
167,0.5118293285369873,0.01249945645486728,0.003997135162353516,1.4314965988658808e-05,1,0.005,3,1000,"{'colsample_bytree': 1, 'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 1000}",0.832,0.8,0.832,0.8709677419354839,0.8225806451612904,0.8315096774193549,0.022934720735001485,30
60,0.009764480590820312,0.0007453240019145191,0.0015973091125488282,0.00048776116929926733,0.3,0.1,10,10,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 10}",0.824,0.816,0.832,0.8387096774193549,0.8467741935483871,0.8314967741935485,0.01078916479636503,31
