,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
126,0.012567138671875,0.0004904928497021519,0.0027928829193115236,0.00039866952662728365,gini,3,9,10,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'n_estimators': 10}",0.832,0.776,0.824,0.8225806451612904,0.8387096774193549,0.8186580645161291,0.02210750010458191,200
153,0.8985791683197022,0.0113963926331164,0.09496269226074219,0.002047317703495947,gini,4,1,1000,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'n_estimators': 1000}",0.848,0.784,0.808,0.8064516129032258,0.8467741935483871,0.8186451612903227,0.02496092263296502,201
548,0.11888360977172852,0.0016985707022042452,0.013554668426513672,0.002238710068936579,entropy,,3,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 3, 'n_estimators': 100}",0.824,0.808,0.808,0.8629032258064516,0.7903225806451613,0.8186451612903227,0.024561181016051037,201
289,0.16355428695678711,0.0071143784257027085,0.014369583129882813,0.003919385699323677,gini,,,100,"{'criterion': 'gini', 'max_depth': None, 'max_features': None, 'n_estimators': 100}",0.808,0.8,0.832,0.8548387096774194,0.7983870967741935,0.8186451612903227,0.021724066553890805,201
559,1.283963966369629,0.05464675989924321,0.10811028480529786,0.00541195803211995,entropy,,5,1000,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 5, 'n_estimators': 1000}",0.824,0.8,0.816,0.8548387096774194,0.7983870967741935,0.8186451612903227,0.02051182750604825,201
549,0.2926161766052246,0.004806636036844904,0.02813377380371094,0.0011531345967404731,entropy,,3,250,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 3, 'n_estimators': 250}",0.824,0.8,0.816,0.8548387096774194,0.7983870967741935,0.8186451612903227,0.02051182750604825,201
456,0.054862165451049806,0.006692511348472822,0.007770061492919922,0.0015996309606305232,entropy,4,5,50,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 5, 'n_estimators': 50}",0.84,0.776,0.824,0.7983870967741935,0.8548387096774194,0.8186451612903225,0.028367852714611255,206
562,0.13902716636657714,0.005165037645345564,0.013564872741699218,0.0022408885790291327,entropy,,7,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 7, 'n_estimators': 100}",0.824,0.792,0.824,0.8629032258064516,0.7903225806451613,0.8186451612903225,0.026564103841523166,206
265,1.2109686851501464,0.013515953690774928,0.10890746116638184,0.008765621372511518,gini,,5,1000,"{'criterion': 'gini', 'max_depth': None, 'max_features': 5, 'n_estimators': 1000}",0.824,0.8,0.816,0.8629032258064516,0.7903225806451613,0.8186451612903225,0.025076913942972047,206
555,0.1318631649017334,0.01270083031076257,0.012159109115600586,0.000970358133886344,entropy,,5,100,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 5, 'n_estimators': 100}",0.824,0.792,0.832,0.8629032258064516,0.782258064516129,0.8186322580645161,0.02898201817906285,209
